[Spectrum]
Version            = 1
IDData             = 95A7_2019-05-02_23-19-03_000_017
IDDevice           = SAM_8586
IDDataType         = SPECTRUM
IDDataTypeSub1     = RAW
IDDataTypeSub2     = 
IDDataTypeSub3     = 
DateTime           = 2019-05-02 23:19:03
 530.00937792704 0.000810281507065737 0 0
 533.35285198173 0.000804752932438429 0 0
 536.69631531 0.000832806836705762 0 0
 540.03975607367 0.000748041313400964 0 0
 543.38316243456 0.000887222105050778 0 0
 546.72652255449 0.000834835146384989 0 0
 550.06982459528 0.000916697123542312 0 0
 553.41305671875 0.000842681288271607 0 0
 556.75620708672 0.000838104932947523 0 0
 560.09926386101 0.000710584351597642 0 0
 563.44221520344 0.000952498768824924 0 0
 566.78504927583 0.000918415820656763 0 0
 570.12775424 0.000948822400315512 0 0
 573.47031825777 0.00075993976538165 0 0
 576.81272949096 0.000938616128744541 0 0
 580.15497610139 0.000823456932788822 0 0
 583.49704625088 0.000887630567268679 0 0
 586.83892810125 0.000816692937479502 0 0
 590.18060981432 0.000746505865734545 0 0
 593.52207955191 0.000813362009699839 0 0
 596.86332547584 0.00092792363024093 0 0
 600.20433574793 0.000614599915312403 0 0
 603.54509853 0.000736628742137031 0 0
 606.88560198387 0.000792095154250124 0 0
 610.22583427136 0.000761957424829392 0 0
 613.56578355429 0.000691109292881699 0 0
 616.90543799448 0.00081262144198762 0 0
 620.24478575375 0.000561997501054659 0 0
 623.58381499392 0.00063866444637708 0 0
 626.92251387681 0.000556280638554773 0 0
 630.26087056424 0.000392979684912502 0 0
 633.59887321803 0.000449442210167132 0 0
 636.93651 0.000379226581829381 0 0
 640.27376907197 0.000430835975547799 0 0
 643.61063859576 0.000332035379773355 0 0
 646.94710673319 0.000396558354023479 0 0
 650.28316164608 0.000365165735460076 0 0
 653.61879149625 0.00032632863332116 0 0
 656.95398444552 0.000331721655765986 0 0
 660.28872865571 0.000437019331719119 0 0
 663.62301228864 0.000262589635345236 0 0
 666.95682350613 0.000348483169712723 0 0
 670.29015047 0.000238225787583047 0 0
 673.62298134207 0.00026198169600103 0 0
 676.95530428416 0.00011970311417562 0 0
 680.28710745809 8.42550765708786e-005 0 0
 683.61837902568 0.00052053119920055 0 0
 686.94910714875 0.000103494434361684 0 0
 690.27927998912 0.000242976126241286 0 0
 693.60888570861 0.000183195888751427 0 0
 696.93791246904 0.00026827070299002 0 0
 700.26634843223 0.000239179324156352 0 0
 703.59418176 3.44957606251451e-006 0 0
 706.92140061417 4.8158854498753e-005 0 0
 710.24799315656 0.000252837909576705 0 0
 713.57394754899 0.000268132004961285 0 0
 716.89925195328 0.000140001853085334 0 0
 720.22389453125 -4.56626408520112e-005 0 0
 723.54786344472 0.000144179087238689 0 0
 726.87114685551 7.71392037022546e-005 0 0
 730.19373292544 0.000125966232638988 0 0
 733.51560981633 -9.79058654460749e-006 0 0
 736.83676569 6.82890097748492e-005 0 0
 740.15718870827 3.8782394242326e-005 0 0
 743.47686703296 0.000222998199554269 0 0
 746.79578882589 2.10257626857337e-005 0 0
 750.11394224888 0.000220679526756312 0 0
 753.43131546375 3.35300430417253e-005 0 0
 756.74789663232 0.000466379455686343 0 0
 760.06367391641 0.000287258005507895 0 0
 763.37863547784 0.000295326926907702 0 0
 766.69276947843 -2.59917234113166e-005 0 0
 770.00606408 5.75055014825339e-005 0 0
 773.31850744437 0.000283798559393707 0 0
 776.63008773336 -1.87646336943402e-005 0 0
 779.94079310879 -0.000155920115151264 0 0
 783.25061173248 -4.06270207488644e-006 0 0
 786.55953176625 -0.000165866387387202 0 0
 789.86754137192 9.47688252643666e-005 0 0
 793.17462871131 -0.000160617280837741 0 0
 796.48078194624 2.78796660785169e-005 0 0
 799.78598923853 4.59037374833857e-005 0 0
 803.09023875 0.000102645821586087 0 0
 806.39351864247 -0.000172024873784015 0 0
 809.69581707776 0.000233804351306843 0 0
 812.99712221769 0.000317153414382837 0 0
 816.29742222408 0.00024026048984384 0 0
 819.59670525875 0.000211647482002814 0 0
 822.89495948352 0.000374139010941196 0 0
 826.19217306021 -0.000142128540370271 0 0
 829.48833415064 0.000159358763675175 0 0
 832.78343091663 0.000171533935168239 0 0
 836.07745152 0.000110829439991205 0 0
 839.37038412257 -0.00036530861474878 0 0
 842.66221688616 0.000440314802047998 0 0
 845.95293797259 -3.50564216640203e-005 0 0
 849.24253554368 0.000404543357783879 0 0
 852.53099776125 0.000218372738637322 0 0
 855.81831278712 7.10461094697085e-005 0 0
 859.10446878311 0.000428069092503271 0 0
 862.38945391104 -7.83224217063523e-005 0 0
 865.67325633273 0.000597140821739909 0 0
 868.95586421 0.000693577397889407 0 0
 872.23726570467 0.000266162911710104 0 0
 875.51744897856 0.00056036412545063 0 0
 878.79640219349 0.000354565530435594 0 0
 882.07411351128 0.000503979958049085 0 0
 885.35057109375 7.24789653455365e-005 0 0
 888.62576310272 -0.000116143618628957 0 0
 891.89967770001 0.000664418699066194 0 0
 895.17230304744 -0.000219468283184258 0 0
 898.44362730683 4.32876626858074e-005 0 0
 901.71363864 0.000845019468843152 0 0
 904.98232520877 -0.0010942570065971 0 0
 908.24967517496 0.00203732296545477 0 0
 911.51567670039 -0.00015457355551045 0 0
 914.78031794688 6.64042457799575e-005 0 0
 918.04358707625 0.000129832667859491 0 0
 921.30547225032 0.00138331128037567 0 0
 924.56596163091 0.00116562020346769 0 0
 927.82504337984 0.000512672518910388 0 0
