wavelength,intensity,err1,err2
884.0098973,0.003248056,0,0
887.2894378,-0.000726877,0,0
890.5677902,0.00107573,0,0
893.8449442,0.000180518,0,0
897.1208892,0.000501966,0,0
900.3956149,0.00376999,0,0
903.6691107,0.006199873,0,0
906.9413662,0.009604889,0,0
910.212371,0.005685402,0,0
913.4821146,0.006220107,0,0
916.7505865,0.010664013,0,0
920.0177763,0.00628394,0,0
923.2836736,-0.029112246,0,0
926.5482679,0.0076933,0,0
929.8115487,0.008325986,0,0
933.0735056,-0.003340818,0,0
936.3341282,0.009312623,0,0
939.5934059,0.005992812,0,0
942.8513283,-0.002000625,0,0
946.1078851,-0.025829106,0,0
949.3630656,0.015646264,0,0
952.6168596,-0.002371765,0,0
955.8692564,0,0,0
959.1202458,0,0,0
962.3698171,0,0,0
965.61796,0,0,0
968.864664,0,0,0
972.1099187,0,0,0
975.3537136,0,0,0
978.5960382,0,0,0
981.8368821,0,0,0
985.0762349,0,0,0
988.3140861,0,0,0
991.5504252,0,0,0
994.7852418,0,0,0
998.0185254,0,0,0
1001.250266,0,0,0
1004.480452,0,0,0
1007.709074,0,0,0
1010.936121,0,0,0
1014.161583,0,0,0
1017.38545,0,0,0
1020.60771,0,0,0
1023.828353,0,0,0
1027.04737,0,0,0
1030.264749,0,0,0
1033.48048,0,0,0
1036.694553,0,0,0
1039.906957,0,0,0
1043.117682,0,0,0
1046.326716,0,0,0
1049.534051,0,0,0
1052.739675,0,0,0
1055.943578,0,0,0
1059.145749,0,0,0
1062.346179,0,0,0
1065.544855,0,0,0
1068.741769,0,0,0
1071.93691,0,0,0
1075.130266,0,0,0
1078.321829,0,0,0
1081.511587,0,0,0
1084.699529,0,0,0
1087.885646,0,0,0
1091.069927,0,0,0
1094.252361,0,0,0
1097.432938,0,0,0
1100.611648,0,0,0
1103.78848,0,0,0
1106.963423,0,0,0
1110.136468,0,0,0
1113.307604,0,0,0
1116.476819,0,0,0
1119.644105,0,0,0
1122.80945,0,0,0
1125.972844,0,0,0
1129.134276,0,0,0
1132.293737,0,0,0
1135.451214,0,0,0
1138.6067,0,0,0
1141.760181,0,0,0
1144.911649,0,0,0
