[Spectrum]
Version            = 1
IDData             = 95A7_2019-04-05_15-50-10_000_352
IDDevice           = SAM_8589
IDDataType         = SPECTRUM
IDDataTypeSub1     = RAW
IDDataTypeSub2     = 
IDDataTypeSub3     = 
DateTime           = 2019-04-05 15:50:10
 1126.1634375 0 0 0
 1129.33559380436 0 0 0
 1132.50577015488 0 0 0
 1135.67395520772 0 0 0
 1138.84013761904 0 0 0
 1142.004306045 0 0 0
 1145.16644914176 0 0 0
[END] of [DATA]
[END] of [Spectrum]

[Spectrum]
Version            = 1
IDData             = 95A7_2019-04-05_15-50-30_000_362
IDDevice           = SAM_8589
IDDataType         = SPECTRUM
IDDataTypeSub1     = RAW
IDDataTypeSub2     = 
IDDataTypeSub3     = 
DateTime           = 2019-04-05 15:50:30
PositionLatitude   = 0
PositionLongitude  = 0
Comment            = 
CommentSub1        = 
CommentSub2        = 
CommentSub3        = 
IDMethodType       = SAM Control
MethodName         = SAM_8589
Mission            = No Mission
MissionSub         = 1
RecordType         = 0
[Attributes]
CalFactor = 1
IDBasisSpec = 
IDDataBack = DLAB_2018-04-12_14-51-44_608_165
IDDataCal = DLAB_2018-04-13_12-52-31_209_732
IntegrationTime = 4096
P31 = -1
P31e = 0
PathLength = +INF
PathLengthCustomOn = 0
RAWDynamic = 65535
Salinity = 0
Temperature = -NAN
Unit1 = $05 $00 Pixel 
Unit2 = $03 $05 Intensity counts
Unit3 = $f0 $05 Error counts
Unit4 = $f1 $00 Status 
p999 = 27
[END] of [Attributes]
[DATA]
 0 11 0 0
 1 1990 0 0
 2 1991 0 0
 3 1990 0 0
 4 1995 0 0
 5 1996 0 0
 6 1992 0 0
 7 2003 0 0
 8 1992 0 0
 9 1990 0 0
 10 1993 0 0
 11 1982 0 0
 12 1986 0 0
 13 2001 0 0
 14 1983 0 0
 15 1985 0 0
 16 1997 0 0
 17 1996 0 0
 18 1996 0 0
 19 1993 0 0
 20 2000 0 0
 21 1990 0 0
 22 2009 0 0
 23 2001 0 0
 24 2001 0 0
 25 2014 0 0
 26 2011 0 0
 27 2017 0 0
 28 2044 0 0
 29 2258 0 0
 30 2478 0 0
 31 2438 0 0
 32 2246 0 0
 33 2198 0 0
 34 2249 0 0
 35 2308 0 0
 36 2382 0 0
 37 2508 0 0
 38 3661 0 0
 39 6012 0 0
 40 6300 0 0
 41 4158 0 0
 42 3011 0 0
 43 2846 0 0
 44 2847 0 0
 45 2847 0 0
 46 2827 0 0
 47 2801 0 0
 48 2774 0 0
 49 2747 0 0
 50 2716 0 0
 51 2709 0 0
 52 2742 0 0
 53 3052 0 0
 54 3713 0 0
 55 4273 0 0
 56 4294 0 0
 57 3895 0 0
 58 3412 0 0
 59 2991 0 0
 60 2700 0 0
 61 2568 0 0
 62 2536 0 0
 63 2537 0 0
 64 2530 0 0
 65 2557 0 0
 66 2574 0 0
 67 2629 0 0
 68 2822 0 0
 69 3468 0 0
 70 6100 0 0
 71 11121 0 0
 72 14016 0 0
 73 11883 0 0
 74 7839 0 0
 75 5355 0 0
 76 4146 0 0
 77 3747 0 0
 78 3681 0 0
 79 3718 0 0
 80 3892 0 0
 81 4342 0 0
 82 5064 0 0
 83 5756 0 0
 84 6163 0 0
 85 6102 0 0
 86 5588 0 0
 87 4941 0 0
 88 4460 0 0
 89 4236 0 0
 90 4923 0 0
 91 7616 0 0
 92 9777 0 0
 93 9313 0 0
 94 7197 0 0
 95 5643 0 0
 96 4830 0 0
 97 4428 0 0
 98 4049 0 0
 99 3539 0 0
 100 3031 0 0
 101 2770 0 0
 102 2671 0 0
 103 2704 0 0
 104 2685 0 0
 105 2593 0 0
 106 2491 0 0
 107 2460 0 0
 108 2434 0 0
 109 2380 0 0
 110 2318 0 0
 111 2278 0 0
 112 2278 0 0
 113 2263 0 0
 114 2272 0 0
 115 2282 0 0
 116 2252 0 0
 117 2199 0 0
 118 2178 0 0
 119 2254 0 0
 120 2514 0 0
 121 2710 0 0
 122 2632 0 0
 123 2369 0 0
 124 2170 0 0
 125 2093 0 0
 126 2051 0 0
 127 2045 0 0
 128 2048 0 0
 129 2045 0 0
 130 2047 0 0
 131 2052 0 0
 132 2042 0 0
 133 2041 0 0
 134 2025 0 0
 135 2029 0 0
 136 2034 0 0
 137 2034 0 0
 138 2030 0 0
 139 2022 0 0
 140 2014 0 0
 141 2011 0 0
 142 2010 0 0
 143 2000 0 0
 144 1998 0 0
 145 2006 0 0
 146 2008 0 0
 147 2008 0 0
 148 2023 0 0
 149 2004 0 0
 150 2007 0 0
 151 2022 0 0
 152 2030 0 0
 153 2018 0 0
 154 2007 0 0
 155 2000 0 0
 156 1996 0 0
 157 2003 0 0
 158 2007 0 0
 159 1999 0 0
 160 1997 0 0
 161 2007 0 0
 162 2022 0 0
 163 2000 0 0
 164 1996 0 0
 165 1998 0 0
 166 1997 0 0
 167 2000 0 0
 168 1991 0 0
 169 1992 0 0
 170 1988 0 0
 171 1982 0 0
 172 1992 0 0
 173 1992 0 0
 174 1990 0 0
 175 1988 0 0
 176 1999 0 0
 177 1991 0 0
 178 1990 0 0
 179 1994 0 0
 180 2006 0 0
 181 1989 0 0
 182 1998 0 0
 183 2005 0 0
 184 2016 0 0
 185 1997 0 0
 186 1985 0 0
 187 1994 0 0
 188 1991 0 0
 189 2000 0 0
 190 1988 0 0
 191 1988 0 0
 192 2000 0 0
 193 1994 0 0
 194 1998 0 0
 195 1990 0 0
 196 1996 0 0
 197 1995 0 0
 198 1990 0 0
 199 1992 0 0
 200 1998 0 0
 201 1999 0 0
 202 1984 0 0
 203 1993 0 0
 204 1984 0 0
 205 1996 0 0
 206 1990 0 0
 207 1999 0 0
 208 1996 0 0
 209 1994 0 0
 210 1988 0 0
 211 1991 0 0
 212 1989 0 0
 213 1992 0 0
 214 2001 0 0
 215 1999 0 0
 216 1994 0 0
 217 1996 0 0
 218 1998 0 0
 219 1998 0 0
 220 1986 0 0
 221 2003 0 0
 222 2010 0 0
 223 2004 0 0
 224 1991 0 0
 225 1992 0 0
 226 1993 0 0
 227 1997 0 0
 228 2003 0 0
 229 2001 0 0
 230 2005 0 0
 231 1992 0 0
 232 2006 0 0
 233 1990 0 0
 234 2001 0 0
 235 1997 0 0
 236 1994 0 0
