99AA01-0717-0068	
This data is for reference only	
1214	0.9897
1215	0.9898
1216	0.9893
1217	0.9894
1218	0.9891
1219	0.9894
1220	0.9897
1221	0.9895
1222	0.9895
1223	0.9896
1224	0.9897
1225	0.9898
1226	0.9900
1227	0.9900
1228	0.9896
1229	0.9892
1230	0.9892
1231	0.9894
1232	0.9893
1233	0.9897
1234	0.9894
1235	0.9892
1236	0.9895
1237	0.9898
1238	0.9896
1239	0.9900
1240	0.9894
1241	0.9891
1242	0.9893
1243	0.9893
1244	0.9897
1245	0.9898
1246	0.9893
1247	0.9895
1248	0.9900
1249	0.9894
1250	0.9894
1251	0.9898
1252	0.9893
1253	0.9895
1254	0.9894
1255	0.9894
1256	0.9896
1257	0.9894
1258	0.9894
1259	0.9897
1260	0.9893
1261	0.9894
1262	0.9897
1263	0.9900
1264	0.9894
1265	0.9894
1266	0.9893
1267	0.9898
1268	0.9900
1269	0.9893
1270	0.9889
1271	0.9890
1272	0.9895
1273	0.9896
1274	0.9892
1275	0.9893
1276	0.9891
1277	0.9891
1278	0.9892
1279	0.9892
1280	0.9893
1281	0.9893
1282	0.9890
1283	0.9892
1284	0.9895
1285	0.9889
1286	0.9889
1287	0.9887
1288	0.9886
1289	0.9884
1290	0.9887
1291	0.9888
1292	0.9888
1293	0.9888
1294	0.9884
1295	0.9886
1296	0.9891
1297	0.9890
1298	0.9890
1299	0.9888
1300	0.9884
1301	0.9885
1302	0.9889
1303	0.9887
1304	0.9887
1305	0.9888
1306	0.9887
1307	0.9884
1308	0.9887
1309	0.9888
1310	0.9886
1311	0.9886
1312	0.9888
1313	0.9889
1314	0.9891
1315	0.9888
1316	0.9889
1317	0.9890
1318	0.9887
1319	0.9886
1320	0.9886
1321	0.9885
1322	0.9885
1323	0.9888
1324	0.9889
1325	0.9887
1326	0.9887
1327	0.9885
1328	0.9886
1329	0.9887
1330	0.9886
1331	0.9884
1332	0.9887
1333	0.9886
1334	0.9885
1335	0.9886
1336	0.9880
1337	0.9882
1338	0.9887
1339	0.9882
1340	0.9882
1341	0.9886
1342	0.9885
1343	0.9879
1344	0.9879
1345	0.9880
1346	0.9880
1347	0.9881
1348	0.9881
1349	0.9882
1350	0.9884
1351	0.9880
1352	0.9877
1353	0.9881
1354	0.9877
1355	0.9877
1356	0.9881
1357	0.9878
1358	0.9876
1359	0.9877
1360	0.9878
1361	0.9876
1362	0.9878
1363	0.9876
1364	0.9875
1365	0.9878
1366	0.9873
1367	0.9875
1368	0.9875
1369	0.9870
1370	0.9868
1371	0.9876
1372	0.9874
1373	0.9869
1374	0.9871
1375	0.9871
1376	0.9870
1377	0.9869
1378	0.9868
1379	0.9872
1380	0.9874
1381	0.9875
1382	0.9876
1383	0.9877
1384	0.9875
1385	0.9874
1386	0.9874
1387	0.9873
1388	0.9869
1389	0.9874
1390	0.9872
1391	0.9868
1392	0.9870
1393	0.9872
1394	0.9873
1395	0.9877
1396	0.9874
1397	0.9870
1398	0.9873
1399	0.9875
1400	0.9878
1401	0.9884
1402	0.9877
1403	0.9879
1404	0.9882
1405	0.9877
1406	0.9874
1407	0.9878
1408	0.9874
1409	0.9873
1410	0.9871
1411	0.9871
1412	0.9872
1413	0.9882
1414	0.9876
1415	0.9878
1416	0.9877
1417	0.9877
1418	0.9878
1419	0.9881
1420	0.9882
1421	0.9876
1422	0.9876
1423	0.9880
1424	0.9876
1425	0.9877
1426	0.9873
1427	0.9885
1428	0.9881
1429	0.9879
1430	0.9879
1431	0.9890
1432	0.9885
1433	0.9881
1434	0.9886
1435	0.9889
1436	0.9887
1437	0.9891
1438	0.9881
1439	0.9886
1440	0.9881
1441	0.9876
1442	0.9880
1443	0.9882
1444	0.9884
1445	0.9886
1446	0.9884
1447	0.9886
1448	0.9884
1449	0.9880
1450	0.9882
1451	0.9886
1452	0.9883
1453	0.9886
1454	0.9888
1455	0.9882
1456	0.9881
1457	0.9882
1458	0.9880
1459	0.9879
1460	0.9884
1461	0.9891
1462	0.9883
1463	0.9890
1464	0.9887
1465	0.9888
1466	0.9887
1467	0.9889
1468	0.9892
1469	0.9889
1470	0.9887
1471	0.9882
1472	0.9884
1473	0.9891
1474	0.9883
1475	0.9880
1476	0.9880
1477	0.9881
1478	0.9880
1479	0.9891
1480	0.9886
1481	0.9883
1482	0.9889
1483	0.9884
1484	0.9883
1485	0.9883
1486	0.9879
1487	0.9892
1488	0.9883
1489	0.9882
1490	0.9883
1491	0.9892
1492	0.9887
1493	0.9884
1494	0.9890
1495	0.9884
1496	0.9883
1497	0.9881
1498	0.9879
1499	0.9884
1500	0.9884
1501	0.9884
1502	0.9883
1503	0.9890
1504	0.9882
1505	0.9886
1506	0.9887
1507	0.9881
1508	0.9885
1509	0.9888
1510	0.9877
1511	0.9885
1512	0.9882
1513	0.9885
1514	0.9886
1515	0.9887
